,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,152.5,154.35,150.3,152.8,66565,TDPOWERSYS
1,2021-01-04 00:00:00+05:30,153.5,155.0,144.3,146.75,97958,TDPOWERSYS
2,2021-01-05 00:00:00+05:30,146.75,147.8,139.0,142.0,137440,TDPOWERSYS
3,2021-01-06 00:00:00+05:30,140.4,144.05,137.0,139.45,53430,TDPOWERSYS
4,2021-01-07 00:00:00+05:30,142.5,145.0,140.1,143.5,50268,TDPOWERSYS
5,2021-01-08 00:00:00+05:30,145.4,149.8,143.7,146.65,92980,TDPOWERSYS
6,2021-01-11 00:00:00+05:30,146.7,147.9,142.0,142.9,70976,TDPOWERSYS
7,2021-01-12 00:00:00+05:30,144.7,144.7,140.05,141.6,41445,TDPOWERSYS
8,2021-01-13 00:00:00+05:30,145.9,145.9,139.05,141.95,39818,TDPOWERSYS
9,2021-01-14 00:00:00+05:30,141.0,145.25,140.2,141.6,45692,TDPOWERSYS
10,2021-01-15 00:00:00+05:30,143.05,143.05,139.15,140.35,26868,TDPOWERSYS
11,2021-01-18 00:00:00+05:30,140.35,142.45,138.2,139.35,32251,TDPOWERSYS
12,2021-01-19 00:00:00+05:30,139.7,146.0,139.6,145.2,46521,TDPOWERSYS
13,2021-01-20 00:00:00+05:30,144.3,145.15,141.6,142.2,24632,TDPOWERSYS
14,2021-01-21 00:00:00+05:30,143.0,144.5,140.05,141.25,22095,TDPOWERSYS
15,2021-01-22 00:00:00+05:30,141.25,144.0,137.25,138.5,35097,TDPOWERSYS
16,2021-01-25 00:00:00+05:30,142.45,144.0,131.75,135.1,50529,TDPOWERSYS
17,2021-01-27 00:00:00+05:30,138.0,138.0,130.1,132.55,17849,TDPOWERSYS
18,2021-01-28 00:00:00+05:30,130.1,133.9,129.3,129.95,43612,TDPOWERSYS
19,2021-01-29 00:00:00+05:30,132.9,134.0,128.5,129.95,18064,TDPOWERSYS
20,2021-02-01 00:00:00+05:30,130.65,134.6,129.7,133.95,28059,TDPOWERSYS
21,2021-02-02 00:00:00+05:30,134.9,145.15,133.0,142.55,83577,TDPOWERSYS
22,2021-02-03 00:00:00+05:30,144.95,146.95,142.75,145.4,72520,TDPOWERSYS
23,2021-02-04 00:00:00+05:30,148.0,159.0,142.2,151.95,606666,TDPOWERSYS
24,2021-02-05 00:00:00+05:30,155.9,159.9,152.0,156.35,300625,TDPOWERSYS
25,2021-02-08 00:00:00+05:30,158.0,160.0,152.9,153.9,128397,TDPOWERSYS
26,2021-02-09 00:00:00+05:30,152.4,155.05,151.05,152.4,81025,TDPOWERSYS
