Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,801.33,866.78,918.48,955.75,934.99,961.5,1074.49,1193.34,1127.28,1051.3,TIDEWATER
Raw Material Cost,476.84,568.86,610.42,610.32,512.82,533.38,602.34,692.67,614.65,576.23,TIDEWATER
Change in Inventory,7.17,-12.37,9.48,-6.33,-0.96,7.33,-6.96,1.11,18.05,13.75,TIDEWATER
Power and Fuel,2.01,2.25,2.55,2.85,2.85,3.02,3.07,3.37,2.95,3.29,TIDEWATER
Other Mfr. Exp,92.38,12.75,7.89,8.13,9.4,9.64,10.09,9.16,9.75,10.19,TIDEWATER
Employee Cost,30.93,39.54,42.45,45.96,49.4,55.07,70.04,73.64,80.23,82.27,TIDEWATER
Selling and admin,183.15,214.36,151.6,183.54,206.47,225.13,240.29,271.64,291.66,240.68,TIDEWATER
Other Expenses,-62.68,-76.54,10.2,10.66,12.15,10.95,16.32,22.82,25.42,26.7,TIDEWATER
Other Income,10.65,10.1,9.73,162.9,-0.56,28.25,30.13,35.43,32.78,42.34,TIDEWATER
Depreciation,9.26,9.09,8.82,7.45,7.11,7.37,7.62,8.29,9.36,10.42,TIDEWATER
Interest,1.07,,,,,1.49,1.34,1.33,1.46,1.74,TIDEWATER
Profit before tax,86.19,94.2,103.76,243.41,133.27,151.03,146.55,146.96,142.63,155.87,TIDEWATER
Tax,27.11,31.27,35.42,72.25,50.09,48.1,49.62,50.24,36.9,38.42,TIDEWATER
Net profit,59.08,62.93,68.34,171.16,83.18,102.93,96.93,96.72,105.73,117.45,TIDEWATER
