,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,6.85,7.0,6.55,6.8,97199,TREEHOUSE
1,2021-01-04 00:00:00+05:30,6.95,7.0,6.7,6.95,81823,TREEHOUSE
2,2021-01-05 00:00:00+05:30,7.05,7.05,6.75,6.85,26031,TREEHOUSE
3,2021-01-06 00:00:00+05:30,7.0,7.0,6.65,6.7,39731,TREEHOUSE
4,2021-01-07 00:00:00+05:30,6.9,7.0,6.85,6.95,60656,TREEHOUSE
5,2021-01-08 00:00:00+05:30,7.15,7.15,6.85,6.85,50948,TREEHOUSE
6,2021-01-11 00:00:00+05:30,7.05,7.05,6.7,6.8,17608,TREEHOUSE
7,2021-01-12 00:00:00+05:30,7.0,7.0,6.65,6.9,50737,TREEHOUSE
8,2021-01-13 00:00:00+05:30,7.0,7.2,6.7,6.85,57921,TREEHOUSE
9,2021-01-14 00:00:00+05:30,6.95,7.15,6.75,7.15,71324,TREEHOUSE
10,2021-01-15 00:00:00+05:30,7.5,7.5,6.9,7.5,126286,TREEHOUSE
11,2021-01-18 00:00:00+05:30,7.65,7.85,7.65,7.85,52366,TREEHOUSE
12,2021-01-19 00:00:00+05:30,8.2,8.2,7.95,8.2,48080,TREEHOUSE
13,2021-01-20 00:00:00+05:30,8.55,8.6,7.95,8.4,242399,TREEHOUSE
14,2021-01-21 00:00:00+05:30,8.75,8.8,8.0,8.0,158170,TREEHOUSE
15,2021-01-22 00:00:00+05:30,7.6,7.95,7.6,7.8,56881,TREEHOUSE
16,2021-01-25 00:00:00+05:30,8.0,8.0,7.45,7.5,53758,TREEHOUSE
17,2021-01-27 00:00:00+05:30,7.5,7.6,7.2,7.35,23219,TREEHOUSE
18,2021-01-28 00:00:00+05:30,7.5,7.5,7.0,7.05,13052,TREEHOUSE
19,2021-01-29 00:00:00+05:30,6.95,7.2,6.85,6.95,15030,TREEHOUSE
20,2021-02-01 00:00:00+05:30,7.05,7.25,6.75,7.15,61630,TREEHOUSE
21,2021-02-02 00:00:00+05:30,7.45,7.5,7.25,7.45,83577,TREEHOUSE
22,2021-02-03 00:00:00+05:30,7.6,7.8,7.45,7.8,73161,TREEHOUSE
23,2021-02-04 00:00:00+05:30,8.1,8.1,7.45,7.5,51304,TREEHOUSE
24,2021-02-05 00:00:00+05:30,7.5,7.55,7.1,7.15,40280,TREEHOUSE
25,2021-02-08 00:00:00+05:30,7.4,7.4,7.05,7.3,16187,TREEHOUSE
26,2021-02-09 00:00:00+05:30,7.35,8.0,7.35,7.85,101716,TREEHOUSE
27,2021-02-10 00:00:00+05:30,8.25,8.25,7.25,7.45,25442,TREEHOUSE
28,2021-02-11 00:00:00+05:30,7.25,7.55,7.25,7.55,23218,TREEHOUSE
29,2021-02-12 00:00:00+05:30,7.55,7.55,7.3,7.4,19730,TREEHOUSE
30,2021-02-15 00:00:00+05:30,7.25,7.45,7.1,7.15,6732,TREEHOUSE
31,2021-02-16 00:00:00+05:30,7.15,7.85,6.9,7.65,41575,TREEHOUSE
32,2021-02-17 00:00:00+05:30,7.8,7.8,6.9,7.1,48073,TREEHOUSE
33,2021-02-18 00:00:00+05:30,7.45,7.8,7.0,7.75,73120,TREEHOUSE
34,2021-02-19 00:00:00+05:30,7.9,8.05,7.4,7.9,50637,TREEHOUSE
35,2021-02-22 00:00:00+05:30,7.9,7.9,7.5,7.65,14862,TREEHOUSE
36,2021-02-23 00:00:00+05:30,7.35,7.5,7.3,7.35,12202,TREEHOUSE
37,2021-02-24 00:00:00+05:30,7.2,7.6,7.2,7.4,3125,TREEHOUSE
38,2021-02-25 00:00:00+05:30,7.3,7.7,7.0,7.25,22170,TREEHOUSE
39,2021-02-26 00:00:00+05:30,7.5,7.5,7.15,7.2,6825,TREEHOUSE
40,2021-03-01 00:00:00+05:30,7.65,7.7,6.85,7.05,26364,TREEHOUSE
41,2021-03-02 00:00:00+05:30,6.9,7.65,6.9,7.4,56003,TREEHOUSE
42,2021-03-03 00:00:00+05:30,7.4,7.55,7.2,7.3,126518,TREEHOUSE
43,2021-03-04 00:00:00+05:30,7.5,7.6,7.25,7.25,31495,TREEHOUSE
