Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,656.93,717.57,642.26,652.1,837.3,585.37,649.88,750.25,870.38,955.51,UGARSUGAR
Raw Material Cost,511.14,542.57,464.96,543.1,650.91,367.58,740.38,626.11,578.92,781.73,UGARSUGAR
Change in Inventory,71.03,-3.82,-58.82,58.05,-17.66,-17.14,212.98,71.01,-71.1,43.21,UGARSUGAR
Power and Fuel,11.88,10.04,7.46,7.92,7.51,5.45,5.68,8.59,7.15,7.55,UGARSUGAR
Other Mfr. Exp,55.83,19.68,19.81,60.2,23.56,48.84,56.1,55.61,50.74,54.41,UGARSUGAR
Employee Cost,49.35,56.26,55.69,60.2,67.78,64.85,65.42,63.66,70.1,69.64,UGARSUGAR
Selling and admin,11.25,11.61,10.69,14.82,18.35,13.15,12.29,14.2,18.7,15.47,UGARSUGAR
Other Expenses,8.11,6.32,3.35,2.89,1.03,3.75,4.08,3.26,5.66,2.1,UGARSUGAR
Other Income,1.94,5.74,9.95,3.43,8.83,8.45,3.41,9.25,2.81,5.85,UGARSUGAR
Depreciation,25.17,24.7,25.61,15.46,15.68,14.68,19.48,15.45,13.74,12.42,UGARSUGAR
Interest,29.71,28.88,33.38,14.85,28.8,30.42,29.17,38.15,43.17,42.65,UGARSUGAR
Profit before tax,27.46,19.43,-27.56,-5.86,14.85,27.96,-66.33,5.48,13.91,18.6,UGARSUGAR
Tax,10.37,1.98,2.2,-2.61,3.56,1.99,1.86,1.13,0.14,1.55,UGARSUGAR
Net profit,17.09,17.45,-29.76,-3.25,11.28,25.97,-68.19,4.35,13.77,17.05,UGARSUGAR
