,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,40.0,40.0,39.5,39.6,949041,UJJIVANSFB
1,2021-01-04 00:00:00+05:30,40.4,40.45,39.8,40.05,1730976,UJJIVANSFB
2,2021-01-05 00:00:00+05:30,39.6,40.0,39.4,39.85,947909,UJJIVANSFB
3,2021-01-06 00:00:00+05:30,40.0,40.3,39.6,39.7,1253254,UJJIVANSFB
4,2021-01-07 00:00:00+05:30,40.0,44.6,39.8,43.0,17359607,UJJIVANSFB
5,2021-01-08 00:00:00+05:30,44.0,44.1,42.1,42.6,6112838,UJJIVANSFB
6,2021-01-11 00:00:00+05:30,43.05,43.4,41.3,41.8,2520889,UJJIVANSFB
7,2021-01-12 00:00:00+05:30,41.5,43.2,40.45,42.45,2912901,UJJIVANSFB
8,2021-01-13 00:00:00+05:30,42.5,43.15,41.4,41.75,1811776,UJJIVANSFB
9,2021-01-14 00:00:00+05:30,41.7,42.65,41.4,41.6,1552202,UJJIVANSFB
10,2021-01-15 00:00:00+05:30,41.6,41.8,39.75,40.0,3007035,UJJIVANSFB
11,2021-01-18 00:00:00+05:30,40.4,40.4,38.5,38.6,1803715,UJJIVANSFB
12,2021-01-19 00:00:00+05:30,38.9,39.35,38.7,38.85,1869098,UJJIVANSFB
13,2021-01-20 00:00:00+05:30,39.1,39.3,38.35,38.75,1501026,UJJIVANSFB
14,2021-01-21 00:00:00+05:30,39.0,40.05,38.4,38.7,2086225,UJJIVANSFB
15,2021-01-22 00:00:00+05:30,38.9,38.9,37.8,37.9,1533727,UJJIVANSFB
16,2021-01-25 00:00:00+05:30,37.9,38.1,36.0,36.05,2457236,UJJIVANSFB
17,2021-01-27 00:00:00+05:30,36.05,36.4,35.0,35.6,1637776,UJJIVANSFB
18,2021-01-28 00:00:00+05:30,35.5,37.4,35.25,36.4,3532769,UJJIVANSFB
19,2021-01-29 00:00:00+05:30,37.1,37.95,35.5,35.7,2675042,UJJIVANSFB
20,2021-02-01 00:00:00+05:30,36.25,37.0,35.5,36.5,2839188,UJJIVANSFB
21,2021-02-02 00:00:00+05:30,37.0,37.85,34.7,36.65,12717594,UJJIVANSFB
22,2021-02-03 00:00:00+05:30,37.0,39.0,36.75,36.95,5393936,UJJIVANSFB
23,2021-02-04 00:00:00+05:30,34.6,36.2,32.25,35.75,9337119,UJJIVANSFB
24,2021-02-05 00:00:00+05:30,36.6,36.7,36.1,36.5,3285116,UJJIVANSFB
25,2021-02-08 00:00:00+05:30,37.15,37.15,36.05,36.2,2792191,UJJIVANSFB
26,2021-02-09 00:00:00+05:30,36.4,36.4,35.7,35.85,1368609,UJJIVANSFB
27,2021-02-10 00:00:00+05:30,35.8,36.0,35.4,35.45,1197366,UJJIVANSFB
28,2021-02-11 00:00:00+05:30,35.4,35.8,35.2,35.25,1191279,UJJIVANSFB
29,2021-02-12 00:00:00+05:30,35.5,36.2,35.2,35.35,1966752,UJJIVANSFB
30,2021-02-15 00:00:00+05:30,35.75,36.15,35.45,35.9,1989510,UJJIVANSFB
31,2021-02-16 00:00:00+05:30,35.9,36.45,35.55,35.95,2589760,UJJIVANSFB
32,2021-02-17 00:00:00+05:30,35.9,36.15,35.6,35.7,2353623,UJJIVANSFB
33,2021-02-18 00:00:00+05:30,35.9,36.4,35.6,35.75,4354937,UJJIVANSFB
34,2021-02-19 00:00:00+05:30,35.75,35.95,35.0,35.1,2229124,UJJIVANSFB
35,2021-02-22 00:00:00+05:30,35.2,35.25,33.8,34.0,3147540,UJJIVANSFB
36,2021-02-23 00:00:00+05:30,34.2,34.5,33.6,33.75,2003253,UJJIVANSFB
37,2021-02-24 00:00:00+05:30,34.0,34.7,33.5,34.2,1765919,UJJIVANSFB
38,2021-02-25 00:00:00+05:30,34.5,34.65,34.1,34.3,1825645,UJJIVANSFB
39,2021-02-26 00:00:00+05:30,34.0,34.2,33.1,33.55,3022568,UJJIVANSFB
40,2021-03-01 00:00:00+05:30,33.75,34.5,33.65,33.85,2310689,UJJIVANSFB
41,2021-03-02 00:00:00+05:30,34.2,34.45,33.4,33.5,3054318,UJJIVANSFB
42,2021-03-03 00:00:00+05:30,33.75,33.8,33.3,33.45,3076232,UJJIVANSFB
43,2021-03-04 00:00:00+05:30,33.3,38.35,33.0,35.9,38709568,UJJIVANSFB
44,2021-03-05 00:00:00+05:30,35.75,37.7,35.1,35.8,14106179,UJJIVANSFB
45,2021-03-08 00:00:00+05:30,36.25,36.75,35.35,35.45,3567568,UJJIVANSFB
46,2021-03-09 00:00:00+05:30,35.8,35.9,34.0,34.25,3301139,UJJIVANSFB
47,2021-03-10 00:00:00+05:30,34.65,35.2,34.35,34.65,3027726,UJJIVANSFB
48,2021-03-12 00:00:00+05:30,34.75,35.65,34.05,34.35,6400813,UJJIVANSFB
49,2021-03-15 00:00:00+05:30,34.45,34.5,33.5,33.85,2621109,UJJIVANSFB
50,2021-03-16 00:00:00+05:30,34.0,34.4,33.5,33.7,3100479,UJJIVANSFB
51,2021-03-17 00:00:00+05:30,33.9,33.95,32.8,32.9,2801286,UJJIVANSFB
52,2021-03-18 00:00:00+05:30,33.0,33.6,30.6,31.75,2943122,UJJIVANSFB
53,2021-03-19 00:00:00+05:30,31.55,32.35,30.7,32.05,3171587,UJJIVANSFB
54,2021-03-22 00:00:00+05:30,32.35,32.55,31.9,32.15,1693792,UJJIVANSFB
55,2021-03-23 00:00:00+05:30,32.2,33.2,32.1,32.8,2245739,UJJIVANSFB
56,2021-03-24 00:00:00+05:30,32.5,32.9,31.3,31.45,3027867,UJJIVANSFB
57,2021-03-25 00:00:00+05:30,31.5,31.85,30.75,31.0,2662325,UJJIVANSFB
58,2021-03-26 00:00:00+05:30,31.4,31.45,30.35,30.5,3024482,UJJIVANSFB
59,2021-03-30 00:00:00+05:30,30.8,30.8,30.05,30.2,1973580,UJJIVANSFB
60,2021-03-31 00:00:00+05:30,30.4,30.8,30.25,30.5,2413212,UJJIVANSFB
61,2021-04-01 00:00:00+05:30,30.8,32.15,30.6,31.9,2676741,UJJIVANSFB
62,2021-04-05 00:00:00+05:30,31.85,31.9,30.5,31.05,1788772,UJJIVANSFB
63,2021-04-06 00:00:00+05:30,31.1,31.5,30.65,30.9,1224123,UJJIVANSFB
64,2021-04-07 00:00:00+05:30,31.0,31.8,30.7,30.9,4088494,UJJIVANSFB
65,2021-04-08 00:00:00+05:30,31.3,31.7,30.25,30.45,5180734,UJJIVANSFB
66,2021-04-09 00:00:00+05:30,30.7,30.85,30.3,30.45,2898259,UJJIVANSFB
67,2021-04-12 00:00:00+05:30,30.15,30.2,29.0,29.1,2695992,UJJIVANSFB
68,2021-04-13 00:00:00+05:30,29.25,29.95,29.0,29.85,1315283,UJJIVANSFB
69,2021-04-15 00:00:00+05:30,29.85,30.1,28.85,29.05,2935696,UJJIVANSFB
70,2021-04-16 00:00:00+05:30,28.9,29.4,28.75,28.85,2563662,UJJIVANSFB
71,2021-04-19 00:00:00+05:30,28.0,28.0,27.25,27.5,2630665,UJJIVANSFB
72,2021-04-20 00:00:00+05:30,27.95,27.95,27.15,27.25,3157672,UJJIVANSFB
73,2021-04-22 00:00:00+05:30,27.2,27.2,26.5,26.8,3131878,UJJIVANSFB
74,2021-04-23 00:00:00+05:30,26.75,27.6,26.6,26.8,4160460,UJJIVANSFB
75,2021-04-26 00:00:00+05:30,27.0,27.35,26.7,26.75,2942002,UJJIVANSFB
76,2021-04-27 00:00:00+05:30,26.95,27.2,26.75,27.0,3556009,UJJIVANSFB
