Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,10.95,10.95,UNIVPHOTO
Reserves,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-0.05,-0.06,136.32,150.67,UNIVPHOTO
Borrowings,,,,,,,0.01,0.01,,,UNIVPHOTO
Other Liabilities,,,,,,,,0.01,12.67,12.75,UNIVPHOTO
Total,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,159.94,174.37,UNIVPHOTO
Net Block,,,,,,,,,9.76,9.36,UNIVPHOTO
Capital Work in Progress,,,,,,,,,,,UNIVPHOTO
Investments,,,,,,,,,109.1,154.76,UNIVPHOTO
Other Assets,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,41.08,10.25,UNIVPHOTO
Total,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,159.94,174.37,UNIVPHOTO
Receivables,,,,,,,,,2.52,1.53,UNIVPHOTO
Inventory,,,,,,,,,7.72,5.74,UNIVPHOTO
Cash & Bank,0.03,0.02,0.02,0.01,0.01,0.01,0.01,,27.16,0.46,UNIVPHOTO
No. of Equity Shares,500000.0,500000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,10946604.0,10946604.0,UNIVPHOTO
New Bonus Shares,,,,,,,,,,,UNIVPHOTO
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,UNIVPHOTO
