Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,3315.64,3939.44,4968.27,5334.99,5981.0,6939.0,7263.0,8660.0,9641.0,11345.0,UPL
Raw Material Cost,1900.2,2185.6,2816.72,3032.15,3066.0,3730.0,3921.0,5262.0,5312.0,6511.0,UPL
Change in Inventory,116.85,38.2,153.99,207.37,57.0,108.0,-2.0,160.0,-248.0,256.0,UPL
Power and Fuel,227.07,307.46,391.53,392.33,312.0,287.0,237.0,337.0,386.0,501.0,UPL
Other Mfr. Exp,111.27,162.33,239.79,318.45,509.0,586.0,692.0,686.0,711.0,996.0,UPL
Employee Cost,184.72,237.53,259.26,317.9,399.0,445.0,486.0,551.0,646.0,685.0,UPL
Selling and admin,437.61,498.87,656.32,806.22,702.0,781.0,670.0,728.0,675.0,761.0,UPL
Other Expenses,100.33,159.12,93.05,132.85,212.0,275.0,306.0,417.0,458.0,527.0,UPL
Other Income,143.53,129.57,297.98,260.3,481.0,279.0,428.0,556.0,496.0,98.0,UPL
Depreciation,143.49,157.76,169.09,186.75,619.0,655.0,666.0,724.0,891.0,977.0,UPL
Interest,164.37,101.32,241.98,35.27,192.0,149.0,135.0,185.0,272.0,307.0,UPL
Profit before tax,306.96,297.22,552.5,580.74,508.0,418.0,576.0,486.0,538.0,434.0,UPL
Tax,79.92,89.09,136.77,117.41,123.0,173.0,28.0,81.0,77.0,214.0,UPL
Net profit,227.04,208.13,415.73,463.33,385.0,245.0,548.0,405.0,461.0,220.0,UPL
