Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.85,11.85,11.85,VINDHYATEL
Reserves,207.83,213.57,231.66,282.38,355.66,429.93,517.27,718.65,766.4,874.47,VINDHYATEL
Borrowings,121.99,138.84,185.25,302.33,317.04,275.68,470.63,831.51,891.5,724.22,VINDHYATEL
Other Liabilities,66.77,96.37,154.89,211.94,257.92,457.44,617.76,1047.21,935.19,815.71,VINDHYATEL
Total,408.43,460.62,583.64,808.49,942.46,1174.89,1617.5,2609.22,2604.94,2426.25,VINDHYATEL
Net Block,44.69,42.55,54.14,68.45,77.83,71.67,85.2,129.26,116.61,140.69,VINDHYATEL
Capital Work in Progress,0.28,0.49,4.69,0.43,0.12,15.59,4.55,,19.14,,VINDHYATEL
Investments,117.68,117.68,117.68,117.68,139.84,153.32,166.16,220.36,149.66,165.78,VINDHYATEL
Other Assets,245.78,299.9,407.13,621.93,724.67,934.31,1361.59,2259.6,2319.53,2119.78,VINDHYATEL
Total,408.43,460.62,583.64,808.49,942.46,1174.89,1617.5,2609.22,2604.94,2426.25,VINDHYATEL
Receivables,175.78,190.34,262.74,349.38,384.48,465.02,720.54,1209.68,1102.16,1154.07,VINDHYATEL
Inventory,32.35,47.57,75.8,80.07,77.25,190.51,372.85,803.15,974.03,747.52,VINDHYATEL
Cash & Bank,9.07,14.61,9.76,21.43,24.94,40.14,34.35,35.46,12.09,23.33,VINDHYATEL
No. of Equity Shares,11850683.0,11850863.0,11850863.0,11850863.0,11850863.0,11850863.0,11850863.0,11850863.0,11850863.0,11850863.0,VINDHYATEL
New Bonus Shares,,,,,,,,,,,VINDHYATEL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,VINDHYATEL
