Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1130.38,1325.5,1493.79,1672.83,1722.52,1803.09,1922.32,2109.54,2118.54,1762.92,VRLLOG
Raw Material Cost,,,,,,,,,,,VRLLOG
Change in Inventory,,,,,,,,,,,VRLLOG
Power and Fuel,270.11,345.8,3.2,3.51,4.37,477.62,502.29,586.16,582.96,518.71,VRLLOG
Other Mfr. Exp,302.56,393.03,238.72,276.08,308.28,779.94,778.74,851.1,790.85,637.61,VRLLOG
Employee Cost,128.95,148.29,174.5,198.04,240.96,266.16,345.85,366.78,380.62,314.76,VRLLOG
Selling and admin,235.15,241.31,867.07,917.3,894.79,57.89,58.36,58.02,56.86,40.5,VRLLOG
Other Expenses,1.68,1.54,1.61,0.64,2.55,1.93,2.26,2.64,3.96,3.27,VRLLOG
Other Income,4.87,9.52,15.84,7.91,8.5,8.57,14.23,7.57,5.88,12.86,VRLLOG
Depreciation,69.6,82.34,86.62,87.66,89.7,98.18,97.63,100.58,167.53,159.79,VRLLOG
Interest,65.14,59.12,61.15,59.61,32.38,24.64,12.03,11.35,37.32,37.4,VRLLOG
Profit before tax,62.06,63.59,76.76,137.9,157.99,105.3,139.39,140.48,104.32,63.74,VRLLOG
Tax,-14.65,17.88,19.75,46.68,53.76,34.83,46.82,48.56,14.2,18.67,VRLLOG
Net profit,76.72,45.7,57.01,91.22,104.24,70.47,92.56,91.92,90.11,45.07,VRLLOG
