,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,56.55,56.55,53.25,54.15,25033,WORTH
1,2021-01-04 00:00:00+05:30,55.45,56.7,53.0,53.2,11310,WORTH
2,2021-01-05 00:00:00+05:30,53.5,53.85,51.4,52.7,25938,WORTH
3,2021-01-06 00:00:00+05:30,53.5,54.9,52.1,52.45,34324,WORTH
4,2021-01-07 00:00:00+05:30,52.55,55.8,52.55,54.0,54008,WORTH
5,2021-01-08 00:00:00+05:30,54.4,60.9,53.05,58.1,167083,WORTH
6,2021-01-11 00:00:00+05:30,61.7,61.7,54.55,55.7,43137,WORTH
7,2021-01-12 00:00:00+05:30,54.25,58.0,54.25,55.55,39546,WORTH
8,2021-01-13 00:00:00+05:30,54.4,60.75,54.4,60.15,277213,WORTH
9,2021-01-14 00:00:00+05:30,61.7,69.25,60.2,62.15,487860,WORTH
10,2021-01-15 00:00:00+05:30,60.0,65.9,58.15,60.3,94361,WORTH
11,2021-01-18 00:00:00+05:30,62.0,62.0,55.3,56.9,67916,WORTH
12,2021-01-19 00:00:00+05:30,57.2,65.85,57.2,61.35,136505,WORTH
13,2021-01-20 00:00:00+05:30,61.95,63.0,61.0,61.25,27350,WORTH
14,2021-01-21 00:00:00+05:30,62.8,62.8,56.15,58.3,71961,WORTH
15,2021-01-22 00:00:00+05:30,58.0,60.95,58.0,59.5,26338,WORTH
16,2021-01-25 00:00:00+05:30,60.9,60.9,56.2,57.65,20615,WORTH
17,2021-01-27 00:00:00+05:30,58.9,60.8,56.2,60.35,25564,WORTH
18,2021-01-28 00:00:00+05:30,59.8,61.9,58.05,59.3,24811,WORTH
19,2021-01-29 00:00:00+05:30,59.0,61.8,58.2,59.6,18543,WORTH
20,2021-02-01 00:00:00+05:30,59.4,61.5,58.1,61.35,27604,WORTH
21,2021-02-02 00:00:00+05:30,61.4,62.0,59.4,60.25,8360,WORTH
22,2021-02-03 00:00:00+05:30,60.0,64.0,59.3,62.95,25579,WORTH
23,2021-02-04 00:00:00+05:30,63.4,64.6,60.35,63.2,17586,WORTH
24,2021-02-05 00:00:00+05:30,63.4,65.0,62.15,62.7,8282,WORTH
25,2021-02-08 00:00:00+05:30,64.3,65.05,62.7,63.6,25948,WORTH
26,2021-02-09 00:00:00+05:30,64.5,64.5,61.7,61.95,26316,WORTH
27,2021-02-10 00:00:00+05:30,62.15,65.9,61.45,64.6,20880,WORTH
28,2021-02-11 00:00:00+05:30,66.65,66.65,62.0,63.2,74963,WORTH
29,2021-02-12 00:00:00+05:30,63.15,64.15,60.8,61.4,20675,WORTH
30,2021-02-15 00:00:00+05:30,60.5,61.6,57.3,58.75,14837,WORTH
31,2021-02-16 00:00:00+05:30,57.3,59.9,57.3,58.95,3864,WORTH
32,2021-02-17 00:00:00+05:30,58.65,61.45,58.1,58.4,9825,WORTH
33,2021-02-18 00:00:00+05:30,61.0,61.0,57.85,58.45,23909,WORTH
34,2021-02-19 00:00:00+05:30,58.45,61.7,58.45,59.35,8500,WORTH
35,2021-02-22 00:00:00+05:30,62.2,62.2,56.05,58.45,6460,WORTH
36,2021-02-23 00:00:00+05:30,56.75,60.95,56.75,58.9,18111,WORTH
37,2021-02-24 00:00:00+05:30,60.3,61.7,59.15,59.85,9712,WORTH
38,2021-02-25 00:00:00+05:30,60.0,61.8,58.1,58.55,21603,WORTH
39,2021-02-26 00:00:00+05:30,59.9,59.9,57.3,57.6,5112,WORTH
40,2021-03-01 00:00:00+05:30,59.0,59.0,57.0,57.5,9496,WORTH
41,2021-03-02 00:00:00+05:30,56.55,60.75,56.55,57.8,33575,WORTH
42,2021-03-03 00:00:00+05:30,58.75,58.75,57.05,57.45,14799,WORTH
43,2021-03-04 00:00:00+05:30,58.0,58.6,56.6,56.95,16832,WORTH
44,2021-03-05 00:00:00+05:30,57.55,57.6,55.7,56.75,17258,WORTH
45,2021-03-08 00:00:00+05:30,56.1,58.7,56.1,57.9,6760,WORTH
46,2021-03-09 00:00:00+05:30,58.55,58.55,56.05,56.4,13603,WORTH
47,2021-03-10 00:00:00+05:30,57.15,58.4,56.0,56.4,20518,WORTH
48,2021-03-12 00:00:00+05:30,57.85,57.85,55.9,56.2,6951,WORTH
49,2021-03-15 00:00:00+05:30,57.25,57.25,53.45,54.6,18661,WORTH
50,2021-03-16 00:00:00+05:30,55.5,57.05,55.1,55.7,26334,WORTH
51,2021-03-17 00:00:00+05:30,55.45,56.4,53.1,55.6,22826,WORTH
52,2021-03-18 00:00:00+05:30,55.55,55.55,51.1,51.85,11537,WORTH
53,2021-03-19 00:00:00+05:30,52.0,53.55,49.9,52.1,15773,WORTH
54,2021-03-22 00:00:00+05:30,50.85,52.95,50.8,52.55,5692,WORTH
55,2021-03-23 00:00:00+05:30,51.6,53.0,51.5,52.4,11790,WORTH
56,2021-03-24 00:00:00+05:30,49.95,52.95,49.9,51.2,38547,WORTH
57,2021-03-25 00:00:00+05:30,50.15,51.85,49.1,49.95,19986,WORTH
58,2021-03-26 00:00:00+05:30,50.3,51.55,48.9,49.15,14869,WORTH
59,2021-03-30 00:00:00+05:30,50.75,50.8,48.35,49.4,3948,WORTH
60,2021-03-31 00:00:00+05:30,49.75,50.5,47.15,48.1,15568,WORTH
61,2021-04-01 00:00:00+05:30,49.2,52.8,49.2,51.85,10710,WORTH
62,2021-04-05 00:00:00+05:30,51.0,52.7,49.0,49.4,8044,WORTH
63,2021-04-06 00:00:00+05:30,48.95,50.7,48.95,49.55,4057,WORTH
64,2021-04-07 00:00:00+05:30,50.4,52.0,49.7,50.4,13432,WORTH
65,2021-04-08 00:00:00+05:30,50.05,51.65,50.05,51.5,5764,WORTH
66,2021-04-09 00:00:00+05:30,51.05,51.45,50.05,50.3,6844,WORTH
67,2021-04-12 00:00:00+05:30,50.0,50.0,47.05,47.5,5752,WORTH
68,2021-04-13 00:00:00+05:30,47.7,48.75,47.05,47.55,5259,WORTH
69,2021-04-15 00:00:00+05:30,47.55,49.0,47.05,48.65,6588,WORTH
70,2021-04-16 00:00:00+05:30,49.2,49.8,47.5,48.05,6580,WORTH
