Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,173.02,99.78,112.11,149.58,120.9,99.02,55.93,52.03,42.7,40.97,XCHANGING
Raw Material Cost,,,,,,,,,,,XCHANGING
Change in Inventory,,,,,,,,,,,XCHANGING
Power and Fuel,3.84,2.33,1.93,1.96,1.84,1.58,0.75,0.42,0.35,0.26,XCHANGING
Other Mfr. Exp,12.49,4.24,13.89,29.81,17.81,12.64,5.96,4.46,3.92,5.06,XCHANGING
Employee Cost,91.93,61.19,60.42,73.8,64.69,65.36,33.67,26.13,21.25,22.02,XCHANGING
Selling and admin,27.8,17.24,19.7,23.11,18.97,19.54,7.87,6.28,5.1,2.91,XCHANGING
Other Expenses,132.7,0.44,2.7,11.27,2.45,13.9,4.14,2.07,0.55,1.91,XCHANGING
Other Income,-24.42,2.88,20.19,8.99,12.03,10.74,10.48,12.02,15.68,14.51,XCHANGING
Depreciation,8.51,3.44,4.34,4.5,3.89,2.8,1.02,0.37,0.77,0.87,XCHANGING
Interest,3.42,0.2,0.34,0.31,0.19,0.15,0.04,0.01,0.11,0.25,XCHANGING
Profit before tax,-132.09,13.58,28.98,13.81,23.09,-6.21,12.96,24.31,26.33,22.2,XCHANGING
Tax,-2.54,7.15,7.44,6.59,9.45,0.47,7.35,7.84,3.64,3.99,XCHANGING
Net profit,-129.55,6.43,21.54,7.22,13.64,-6.68,5.61,16.47,22.69,18.21,XCHANGING
