Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,ZUARIGLOB
Reserves,548.18,568.24,590.94,614.18,986.46,1419.05,2035.0,1810.94,1281.45,2168.68,ZUARIGLOB
Borrowings,,,110.0,80.0,79.78,,24.7,118.33,455.92,665.14,ZUARIGLOB
Other Liabilities,80.69,129.87,145.1,142.22,125.57,53.3,83.97,103.52,98.46,112.62,ZUARIGLOB
Total,658.31,727.55,875.48,865.84,1221.25,1501.79,2173.11,2062.23,1865.27,2975.88,ZUARIGLOB
Net Block,12.12,13.49,13.37,13.86,2.12,3.96,3.75,3.55,3.84,3.18,ZUARIGLOB
Capital Work in Progress,,,,,,,,,,,ZUARIGLOB
Investments,414.15,503.4,435.49,435.47,819.17,1164.97,1778.96,1561.75,989.72,1860.87,ZUARIGLOB
Other Assets,232.04,210.66,426.62,416.51,399.96,332.86,390.4,496.93,871.71,1111.83,ZUARIGLOB
Total,658.31,727.55,875.48,865.84,1221.25,1501.79,2173.11,2062.23,1865.27,2975.88,ZUARIGLOB
Receivables,28.16,27.93,46.8,0.23,,,0.32,0.05,1.68,4.33,ZUARIGLOB
Inventory,37.15,14.23,194.81,205.5,215.22,232.6,235.56,258.63,241.13,241.0,ZUARIGLOB
Cash & Bank,13.83,11.15,6.81,4.1,1.21,4.15,10.18,2.52,57.41,51.97,ZUARIGLOB
No. of Equity Shares,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,29441704.0,ZUARIGLOB
New Bonus Shares,,,,,,,,,,,ZUARIGLOB
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ZUARIGLOB
